"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2007,10,"Kreis 10",0,"Grundtarif",44.7,22.7,66.9
2007,10,"Kreis 10",1,"Verheiratetentarif",79.45,54.8,119
2007,10,"Kreis 10",2,"Einelternfamilientarif",42.75,24.6,62
2007,11,"Kreis 11",0,"Grundtarif",38.4,19.65,58.7
2007,11,"Kreis 11",1,"Verheiratetentarif",65.5,44.1,92.4
2007,11,"Kreis 11",2,"Einelternfamilientarif",33.8,16.9,52.2
2007,12,"Kreis 12",0,"Grundtarif",31,16,46.6
2007,12,"Kreis 12",1,"Verheiratetentarif",56.8,38.2,76.2
2007,12,"Kreis 12",2,"Einelternfamilientarif",29.65,10.25,44.35
2008,1,"Kreis 1",0,"Grundtarif",48.5,19.7,87.9
2008,1,"Kreis 1",1,"Verheiratetentarif",119.2,69.1,186.8
2008,1,"Kreis 1",2,"Einelternfamilientarif",51.75,27.5,93.2
2008,2,"Kreis 2",0,"Grundtarif",44.7,22.1,70.5
2008,2,"Kreis 2",1,"Verheiratetentarif",85.2,56.1,134.1
2008,2,"Kreis 2",2,"Einelternfamilientarif",44.9,24.8,68.5
2008,3,"Kreis 3",0,"Grundtarif",40.7,20,62.8
2008,3,"Kreis 3",1,"Verheiratetentarif",64.4,42,93.5
2008,3,"Kreis 3",2,"Einelternfamilientarif",37.6,20.3,56.5
2008,4,"Kreis 4",0,"Grundtarif",36.5,18,58.2
2008,4,"Kreis 4",1,"Verheiratetentarif",53.8,34.7,76.9
2008,4,"Kreis 4",2,"Einelternfamilientarif",30,13,46.7
2008,5,"Kreis 5",0,"Grundtarif",45.1,22.6,68.7
2008,5,"Kreis 5",1,"Verheiratetentarif",62.2,40.7,91.3
2008,5,"Kreis 5",2,"Einelternfamilientarif",39.7,17.6,64.7
2008,6,"Kreis 6",0,"Grundtarif",47.4,22.8,74.1
2008,6,"Kreis 6",1,"Verheiratetentarif",88.05,57.6,142.8
2008,6,"Kreis 6",2,"Einelternfamilientarif",48.65,29.6,76.4
2008,7,"Kreis 7",0,"Grundtarif",49.9,21.6,83.6
2008,7,"Kreis 7",1,"Verheiratetentarif",118.5,71.3,202.2
2008,7,"Kreis 7",2,"Einelternfamilientarif",61.9,37.95,101.9
2008,8,"Kreis 8",0,"Grundtarif",52.4,24.6,84.3
2008,8,"Kreis 8",1,"Verheiratetentarif",102.3,65.7,170
2008,8,"Kreis 8",2,"Einelternfamilientarif",50.65,32,80.4
2008,9,"Kreis 9",0,"Grundtarif",40,20.8,59.7
2008,9,"Kreis 9",1,"Verheiratetentarif",66.4,45.9,92.5
2008,9,"Kreis 9",2,"Einelternfamilientarif",38.3,20.8,55.6
2008,10,"Kreis 10",0,"Grundtarif",46.2,23.5,69.5
2008,10,"Kreis 10",1,"Verheiratetentarif",80.7,55.7,122.9
2008,10,"Kreis 10",2,"Einelternfamilientarif",45.2,26.2,67.1
2008,11,"Kreis 11",0,"Grundtarif",40,20,60.9
2008,11,"Kreis 11",1,"Verheiratetentarif",67.7,45.3,95.7
2008,11,"Kreis 11",2,"Einelternfamilientarif",37.5,18.65,56.7
2008,12,"Kreis 12",0,"Grundtarif",31.7,16,48
2008,12,"Kreis 12",1,"Verheiratetentarif",57.9,39.4,78.9
2008,12,"Kreis 12",2,"Einelternfamilientarif",29.7,13.1,44.6
2009,1,"Kreis 1",0,"Grundtarif",47.85,19.85,86.8
2009,1,"Kreis 1",1,"Verheiratetentarif",120.1,72.4,185.1
2009,1,"Kreis 1",2,"Einelternfamilientarif",55.25,33.75,93.55
2009,2,"Kreis 2",0,"Grundtarif",44.6,21.5,71.2
2009,2,"Kreis 2",1,"Verheiratetentarif",87.3,57.5,136.8
2009,2,"Kreis 2",2,"Einelternfamilientarif",44.95,25.2,68.5
2009,3,"Kreis 3",0,"Grundtarif",41.3,20.6,64
2009,3,"Kreis 3",1,"Verheiratetentarif",66.5,43.5,96.7
2009,3,"Kreis 3",2,"Einelternfamilientarif",38.9,20.2,59.6
2009,4,"Kreis 4",0,"Grundtarif",36.6,17.8,59.1
2009,4,"Kreis 4",1,"Verheiratetentarif",55,35.7,79.6
