"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
2006,7,"Kreis 7",2,"Einelternfamilientarif",43.5,2,230
2006,8,"Kreis 8",0,"Grundtarif",46,3,228
2006,8,"Kreis 8",1,"Verheiratetentarif",221,36.5,786
2006,8,"Kreis 8",2,"Einelternfamilientarif",25,0,151
2006,9,"Kreis 9",0,"Grundtarif",19,0,117
2006,9,"Kreis 9",1,"Verheiratetentarif",65,0,270
2006,9,"Kreis 9",2,"Einelternfamilientarif",1.5,0,38.5
2006,10,"Kreis 10",0,"Grundtarif",36,2.75,175
2006,10,"Kreis 10",1,"Verheiratetentarif",161,22,520
2006,10,"Kreis 10",2,"Einelternfamilientarif",16,0,78
2006,11,"Kreis 11",0,"Grundtarif",18,0,103
2006,11,"Kreis 11",1,"Verheiratetentarif",62,0,267
2006,11,"Kreis 11",2,"Einelternfamilientarif",3,0,37
2006,12,"Kreis 12",0,"Grundtarif",10,0,75
2006,12,"Kreis 12",1,"Verheiratetentarif",28,0,167
2006,12,"Kreis 12",2,"Einelternfamilientarif",0,0,14
2007,1,"Kreis 1",0,"Grundtarif",33,0,222
2007,1,"Kreis 1",1,"Verheiratetentarif",290.5,54,1024
2007,1,"Kreis 1",2,"Einelternfamilientarif",52,5,240
2007,2,"Kreis 2",0,"Grundtarif",39,3,204
2007,2,"Kreis 2",1,"Verheiratetentarif",172.5,24,556
2007,2,"Kreis 2",2,"Einelternfamilientarif",16,0,88
2007,3,"Kreis 3",0,"Grundtarif",21,0,104
2007,3,"Kreis 3",1,"Verheiratetentarif",53,0,233
2007,3,"Kreis 3",2,"Einelternfamilientarif",5.5,0,51
2007,4,"Kreis 4",0,"Grundtarif",9,0,59
2007,4,"Kreis 4",1,"Verheiratetentarif",4,0,98
2007,4,"Kreis 4",2,"Einelternfamilientarif",0,0,20
2007,5,"Kreis 5",0,"Grundtarif",17,0,88
2007,5,"Kreis 5",1,"Verheiratetentarif",31,0,201
2007,5,"Kreis 5",2,"Einelternfamilientarif",11,0,66
2007,6,"Kreis 6",0,"Grundtarif",44,5,197
2007,6,"Kreis 6",1,"Verheiratetentarif",181,31.5,581
2007,6,"Kreis 6",2,"Einelternfamilientarif",27,0,137
2007,7,"Kreis 7",0,"Grundtarif",70,8,355
2007,7,"Kreis 7",1,"Verheiratetentarif",400,92,1384.5
2007,7,"Kreis 7",2,"Einelternfamilientarif",45,1.5,272.5
2007,8,"Kreis 8",0,"Grundtarif",48,4,232
2007,8,"Kreis 8",1,"Verheiratetentarif",227.5,38.5,828
2007,8,"Kreis 8",2,"Einelternfamilientarif",38.5,0.5,193.5
2007,9,"Kreis 9",0,"Grundtarif",20,0,117
2007,9,"Kreis 9",1,"Verheiratetentarif",66,0,276
2007,9,"Kreis 9",2,"Einelternfamilientarif",1,0,35
2007,10,"Kreis 10",0,"Grundtarif",37,3,176
2007,10,"Kreis 10",1,"Verheiratetentarif",172.5,25,546
2007,10,"Kreis 10",2,"Einelternfamilientarif",15,0,88
2007,11,"Kreis 11",0,"Grundtarif",18,0,102
2007,11,"Kreis 11",1,"Verheiratetentarif",61,0,268
2007,11,"Kreis 11",2,"Einelternfamilientarif",1,0,34
2007,12,"Kreis 12",0,"Grundtarif",10,0,73
2007,12,"Kreis 12",1,"Verheiratetentarif",26,0,163
2007,12,"Kreis 12",2,"Einelternfamilientarif",0,0,14
2008,1,"Kreis 1",0,"Grundtarif",33,1,204
